	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
48	2.0			1224.0	68525.0	28221.0		29.0	80811.0	39.0			47.0			48.0			
52	2.0			1224.0	68525.0	28221.0		29.0	80812.0	49.0			50.0			52.0			
69	2.0			1224.0		1236.0		135614.0		32033.0			68.0			69.0			
192	2.0			1224.0		28211.0		204441.0		41295.0			191.0			192.0			
195	2.0			1224.0	68525.0	29547.0		213849.0		72294.0			194.0			195.0			
199	2.0			1224.0	68525.0	29547.0		213849.0		72294.0			194.0			199.0			
202	2.0			1224.0	68525.0	29547.0		213849.0		72294.0			194.0			202.0			
211	2.0			1224.0	68525.0	29547.0		213849.0		72293.0			209.0			211.0			
216	2.0			1224.0	68525.0	29547.0		213849.0		72293.0			209.0			216.0			
253	2.0			976.0		117743.0		200644.0		49546.0			59732.0			253.0			
254	2.0			976.0		117743.0		200644.0		49546.0			59732.0			254.0			
276	2.0			1297.0		188787.0		68933.0		188786.0			270.0			276.0			
296	2.0			1224.0		1236.0		72274.0		135621.0			286.0		136842.0	296.0			
316	2.0			1224.0		1236.0		72274.0		135621.0			286.0		136846.0	316.0			
376	2.0			1224.0		28211.0		356.0		41294.0			374.0			376.0			
394	2.0			1224.0		28211.0		356.0		82115.0			28105.0		663276.0	380.0			
447	2.0			1224.0		1236.0		118969.0		444.0			461.0			447.0			
448	2.0			1224.0		1236.0		118969.0		444.0			445.0			448.0			
449	2.0			1224.0		1236.0		118969.0		444.0			445.0			449.0			
451	2.0			1224.0		1236.0		118969.0		444.0			465.0			451.0			
452	2.0			1224.0		1236.0		118969.0		444.0			445.0			452.0			
453	2.0			1224.0		1236.0		118969.0		444.0			445.0			453.0			
454	2.0			1224.0		1236.0		118969.0		444.0			445.0			454.0			
455	2.0			1224.0		1236.0		118969.0		444.0			445.0			455.0			
456	2.0			1224.0		1236.0		118969.0		444.0			445.0			456.0			
458	2.0			1224.0		1236.0		118969.0		444.0			445.0			458.0			
460	2.0			1224.0		1236.0		118969.0		444.0			445.0			460.0			
464	2.0			1224.0		1236.0		118969.0		444.0			461.0			464.0			
466	2.0			1224.0		1236.0		118969.0		444.0			465.0			466.0			
470	2.0			1224.0		1236.0		72274.0		468.0			469.0		909768.0	470.0			
476	2.0			1224.0		1236.0		72274.0		468.0			475.0			476.0			
478	2.0			1224.0		1236.0		72274.0		468.0			475.0			478.0			
504	2.0			1224.0		28216.0		206351.0		481.0			32257.0			504.0			
511	2.0			1224.0		28216.0		80840.0		506.0			507.0			511.0			
526	2.0			1224.0		28211.0		204441.0		433.0			522.0			526.0			
549	2.0			1224.0		1236.0		91347.0		1903409.0			53335.0		1654067.0	549.0			
571	2.0			1224.0		1236.0		91347.0		543.0			570.0			571.0			
577	2.0			1224.0		1236.0		91347.0		543.0			160674.0			577.0			
585	2.0			1224.0		1236.0		91347.0		1903414.0			583.0			585.0			
587	2.0			1224.0		1236.0		91347.0		1903414.0			586.0			587.0			
646	2.0			1224.0		1236.0		135624.0		84642.0			642.0			646.0			
649	2.0			1224.0		1236.0		135624.0		84642.0			642.0			649.0			
652	2.0			1224.0		1236.0		135624.0		84642.0			642.0			652.0			
654	2.0			1224.0		1236.0		135624.0		84642.0			642.0			654.0			
656	2.0			1224.0		1236.0		135624.0		84642.0			642.0			656.0			
673	2.0			1224.0		1236.0		135623.0		641.0			246861.0			673.0			
676	2.0			1224.0		1236.0		135623.0		641.0			662.0			676.0			
678	2.0			1224.0		1236.0		135623.0		641.0			662.0			678.0			
693	2.0			1224.0		1236.0		135623.0		641.0			662.0			693.0			
703	2.0			1224.0		1236.0		91347.0					702.0			703.0			
714	2.0			1224.0		1236.0		135625.0		712.0			416916.0			714.0			
732	2.0			1224.0		1236.0		135625.0		712.0			416916.0			732.0			
733	2.0			1224.0		1236.0		135625.0		712.0			724.0			733.0			
734	2.0			1224.0		1236.0		135625.0		712.0			724.0			734.0			
747	2.0			1224.0		1236.0		135625.0		712.0			745.0			747.0			
824	2.0			1224.0	68525.0	29547.0		213849.0		72294.0			194.0			824.0			
882	2.0			1224.0	68525.0	28221.0		213115.0		194924.0			872.0			881.0			
897	2.0			1224.0	68525.0	28221.0		213118.0		213119.0			896.0			897.0			
901	2.0			1224.0	68525.0	28221.0		213115.0		194924.0			872.0			901.0			
964	2.0			1224.0		28216.0		80840.0		75682.0			963.0			964.0			
966	2.0			1224.0		1236.0		135619.0		135620.0			965.0			966.0			
983	2.0			976.0		117743.0		200644.0		49546.0			237.0			983.0			
991	2.0			976.0		117743.0		200644.0		49546.0			237.0			991.0			
1004	2.0			976.0		1853228.0		1853229.0		563835.0			79328.0			1004.0			
1044	2.0			1224.0		28211.0		204457.0		335929.0			1041.0			1044.0			
1048	2.0			1224.0		1236.0		135613.0		1046.0			85076.0			1048.0			
1079	2.0			1224.0		28211.0		356.0		45401.0			59282.0			1079.0			
1112	2.0			1224.0		28211.0		204457.0		335929.0			1111.0			1112.0			
1147	2.0			1117.0				1890424.0		1890428.0			1142.0			1147.0			
1148	2.0			1117.0				1890424.0		1890428.0			1142.0			1148.0			
1188	2.0			1117.0				1161.0		119859.0			111782.0			1188.0			
1246	2.0			1239.0		91061.0		186826.0		81850.0			1243.0			1246.0			
1254	2.0			1239.0		91061.0		186826.0		33958.0			1253.0		1670797.0	1254.0			
1267	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1267.0			
1272	2.0			201174.0		1760.0		85006.0		1268.0			57493.0			1272.0			
1274	2.0			201174.0		1760.0		85006.0		145357.0			57495.0			1274.0			
1280	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1280.0			
1284	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1284.0			
1286	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1286.0			
1288	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1288.0			
1293	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1293.0			
1295	2.0			1239.0		91061.0		1385.0		90964.0			1279.0			1295.0			
1304	2.0			1239.0		91061.0		186826.0		1300.0			1301.0			1304.0			
1326	2.0			1239.0		91061.0		186826.0		1300.0			1301.0			1326.0			
1346	2.0			1239.0		91061.0		186826.0		1300.0			1301.0			1346.0			
1374	2.0			1239.0		91061.0		1385.0		186818.0			1372.0			1374.0			
1376	2.0			1239.0		91061.0		186826.0		186827.0			1375.0			1376.0			
1377	2.0			1239.0		91061.0		186826.0		186827.0			1375.0			1377.0			
1381	2.0			201174.0		84998.0		84999.0		1643824.0			1380.0			1381.0			
1401	2.0			1239.0		91061.0		1385.0		186822.0			44249.0			1401.0			
1405	2.0			1239.0		91061.0		1385.0		186817.0			1386.0		86661.0	1405.0			
1408	2.0			1239.0		91061.0		1385.0		186817.0			1386.0			1408.0			
1409	2.0			1239.0		91061.0		1385.0		186817.0			1386.0			1409.0			
1426	2.0			1239.0		91061.0		1385.0		186817.0			1906945.0			1426.0			
1451	2.0			1239.0		91061.0		1385.0		186822.0			44249.0			1451.0			
1455	2.0			1239.0		91061.0		1385.0		186817.0			1386.0			1455.0			
1459	2.0			1239.0		91061.0		1385.0		186818.0			1569.0			1459.0			
1468	2.0			1239.0		91061.0		1385.0		186822.0			44249.0			948756.0	1468.0		
1473	2.0			1239.0		91061.0		1385.0		186817.0			84406.0			1473.0			
1476	2.0			1239.0		91061.0		1385.0		186818.0			1569.0			1476.0			
1478	2.0			1239.0		91061.0		1385.0		186817.0			1386.0			1478.0			
1479	2.0			1239.0		91061.0		1385.0		186817.0			1386.0			1479.0			
1482	2.0			1239.0		91061.0		1385.0		186817.0			84406.0			1482.0			
1484	2.0			1239.0		91061.0		1385.0		186817.0			1609627.0			1484.0			
1487	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1487.0			
1492	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1492.0			
1497	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1497.0			
1503	2.0			1239.0		1737404.0		1737405.0		2042895.0			1505664.0			1503.0			
1504	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1504.0			
1505	2.0			1239.0		186801.0		186802.0		186804.0			1849828.0			1505.0			
1507	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1507.0			
1511	2.0			1239.0		186801.0		186802.0		186804.0			186831.0			1511.0			
1519	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1519.0			
1520	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1520.0			
1533	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1533.0			
1548	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1548.0			
1551	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			1551.0			
1552	2.0			1239.0		186801.0		186802.0		31979.0			1485.0			238834.0	1552.0		
1591	2.0			1239.0		91061.0		186826.0		33958.0			1578.0			1591.0			
1600	2.0			1239.0		91061.0		186826.0		33958.0			1578.0			1600.0			
1616	2.0			1239.0		91061.0		186826.0		81850.0			46255.0			1616.0			
1620	2.0			1239.0		91061.0		186826.0		81850.0			46255.0			1620.0			
1629	2.0			1239.0		91061.0		186826.0		81850.0			46255.0			1629.0			
1657	2.0			201174.0		1760.0		2037.0		2049.0			76833.0			1657.0			
1661	2.0			201174.0		1760.0		2037.0		2049.0			1069494.0			1661.0			
1687	2.0			201174.0		1760.0		85004.0		31953.0			1678.0			1687.0			
1688	2.0			201174.0		1760.0		85004.0		31953.0			1678.0			1688.0			
1692	2.0			201174.0		1760.0		85004.0		31953.0			1678.0			1692.0			
1693	2.0			201174.0		1760.0		85004.0		31953.0			1678.0			1693.0			
1703	2.0			201174.0		1760.0		85006.0		85019.0			1696.0			1703.0			
1705	2.0			201174.0		1760.0		85007.0		1653.0			1716.0			1705.0			
1713	2.0			201174.0		1760.0		85006.0		85016.0			162491.0			1713.0			
1717	2.0			201174.0		1760.0		85007.0		1653.0			1716.0			1717.0			
1724	2.0			201174.0		1760.0		85007.0		1653.0			1716.0			1724.0			
1748	2.0			201174.0		1760.0		85009.0		31957.0			1912215.0			1748.0			
1766	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1766.0			
1771	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1771.0			
1776	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1776.0			
1778	2.0			201174.0		1760.0		85007.0		1762.0			1763.0			1778.0			
1780	2.0			201174.0		1760.0		85007.0		1762.0			1763.0			1780.0			
1783	2.0			201174.0		1760.0		85007.0		1762.0			1763.0			1783.0			
1784	2.0			201174.0		1760.0		85007.0		1762.0			1763.0		2249310.0	1784.0			
1787	2.0			201174.0		1760.0		85007.0		1762.0			1763.0			1787.0			
1791	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1791.0			
1796	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1796.0			
1798	2.0			201174.0		1760.0		85007.0		1762.0			2126281.0			1798.0			
1801	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1801.0			
1802	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1802.0			
1807	2.0			201174.0		1760.0		85007.0		1762.0			1866885.0			1807.0			
1809	2.0			201174.0		1760.0		85007.0		1762.0			1763.0			1809.0			
1844	2.0			201174.0		1760.0		85009.0		85015.0			1839.0			1844.0			
1848	2.0			201174.0		1760.0		85010.0		2070.0			1847.0			1848.0			
1869	2.0			201174.0		1760.0		85008.0		28056.0			1865.0			1869.0			
1886	2.0			201174.0		1760.0		85011.0		2062.0			1883.0		1477431.0	1886.0			
1890	2.0			201174.0		1760.0		85011.0		2062.0			1883.0			1890.0			
