	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies	varietas	forma
48	Bacteria			Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Archangiaceae			Archangium			Archangium gephyra			
52	Bacteria			Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Sorangiineae	Polyangiaceae			Chondromyces			Chondromyces crocatus			
69	Bacteria			Proteobacteria		Gammaproteobacteria		Xanthomonadales		Xanthomonadaceae			Lysobacter			Lysobacter enzymogenes			
192	Bacteria			Proteobacteria		Alphaproteobacteria		Rhodospirillales		Rhodospirillaceae			Azospirillum			Azospirillum brasilense			
195	Bacteria			Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria		Campylobacterales		Campylobacteraceae			Campylobacter			Campylobacter coli			
199	Bacteria			Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria		Campylobacterales		Campylobacteraceae			Campylobacter			Campylobacter concisus			
202	Bacteria			Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria		Campylobacterales		Campylobacteraceae			Campylobacter			Campylobacter mucosalis			
211	Bacteria			Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria		Campylobacterales		Helicobacteraceae			Helicobacter			Helicobacter sp. CLO-3			
216	Bacteria			Proteobacteria	delta/epsilon subdivisions	Epsilonproteobacteria		Campylobacterales		Helicobacteraceae			Helicobacter			Helicobacter muridarum			
253	Bacteria			Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Chryseobacterium			Chryseobacterium indologenes			
254	Bacteria			Bacteroidetes		Flavobacteriia		Flavobacteriales		Flavobacteriaceae			Chryseobacterium			Chryseobacterium indoltheticum			
276	Bacteria			Deinococcus-Thermus		Deinococci		Thermales		Thermaceae			Thermus			Thermus filiformis			
