	superkingdom	phylum	class	order	family	genus	species
2162	2157.0	28890.0	183925.0	2158.0	2159.0	2160.0	2162.0
2173	2157.0	28890.0	183925.0	2158.0	2159.0	2172.0	2173.0
2176	2157.0	28890.0	224756.0	94695.0	2206.0	2175.0	2176.0
2177	2157.0	28890.0	224756.0	94695.0	2206.0	2175.0	2177.0
2180	2157.0	28890.0	183925.0	2158.0	2178.0	2179.0	2180.0
2186	2157.0	28890.0	183939.0	2182.0	2183.0	155862.0	2186.0
2187	2157.0	28890.0	183939.0	2182.0	2183.0	2184.0	2187.0
2188	2157.0	28890.0	183939.0	2182.0	2183.0	2184.0	2188.0
2189	2157.0	28890.0	183939.0	2182.0	196117.0	196119.0	2189.0
2190	2157.0	28890.0	183939.0	2182.0	196117.0	196118.0	2190.0
2198	2157.0	28890.0	224756.0	2191.0	2194.0	45989.0	2198.0
2200	2157.0	28890.0	224756.0	2191.0	2194.0	45989.0	2200.0
2205	2157.0	28890.0	224756.0	2191.0	2194.0	2204.0	2205.0
2208	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	2208.0
2209	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	2209.0
2210	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	2210.0
2214	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	2214.0
2215	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	2215.0
2223	2157.0	28890.0	224756.0	94695.0	143067.0	2222.0	2223.0
2234	2157.0	28890.0	183980.0	2231.0	2232.0	2233.0	2234.0
2238	2157.0	28890.0	183963.0	2235.0	1963268.0	2237.0	2238.0
2242	2157.0	28890.0	183963.0	2235.0	2236.0	2239.0	2242.0
2246	2157.0	28890.0	183963.0	1644055.0	1644056.0	2251.0	2246.0
2247	2157.0	28890.0	183963.0	1644055.0	1963271.0	56688.0	2247.0
2248	2157.0	28890.0	183963.0	1644055.0	1963271.0	56688.0	2248.0
2250	2157.0	28890.0	183963.0	2235.0	1963270.0	2249.0	2250.0
2252	2157.0	28890.0	183963.0	1644055.0	1644056.0	2251.0	2252.0
2254	2157.0	28890.0	183963.0	1644055.0	1644056.0	2251.0	2254.0
2257	2157.0	28890.0	183963.0	2235.0	1963268.0	63743.0	2257.0
2261	2157.0	28890.0	183968.0	2258.0	2259.0	2260.0	2261.0
2265	2157.0	28890.0	183968.0	2258.0	2259.0	2263.0	2265.0
2269	2157.0	28889.0	183924.0	2266.0	114378.0	2268.0	2269.0
2271	2157.0	28889.0	183924.0	2266.0	2267.0	2270.0	2271.0
2275	2157.0	28889.0	183924.0	114380.0	2272.0	2273.0	2275.0
2277	2157.0	28889.0	183924.0	2266.0	2267.0	2276.0	2277.0
2280	2157.0	28889.0	183924.0	114380.0	2272.0	2279.0	2280.0
2285	2157.0	28889.0	183924.0	2281.0	118883.0	2284.0	2285.0
2287	2157.0	28889.0	183924.0	2281.0	118883.0	2100760.0	2287.0
2303	2157.0	28890.0	183967.0	2301.0	46659.0	2302.0	2303.0
2309	2157.0	28889.0	183924.0	114380.0	2307.0	2308.0	2309.0
2317	2157.0	28890.0	183925.0	2158.0	2159.0	2316.0	2317.0
13769	2157.0	28890.0	183963.0	1644060.0	1644061.0	63742.0	13769.0
13773	2157.0	28889.0	183924.0	2266.0	2267.0	2276.0	13773.0
28442	2157.0	28890.0	183963.0	2235.0	1963268.0	2237.0	28442.0
29282	2157.0	28890.0	183963.0	2235.0	1963268.0	2237.0	29282.0
29283	2157.0	28890.0	183963.0	1644055.0	1963271.0	56688.0	29283.0
29288	2157.0	28890.0	183963.0	1644060.0	1644061.0	29287.0	29288.0
29291	2157.0	28890.0	224756.0	94695.0	2206.0	2225.0	29291.0
29292	2157.0	28890.0	183968.0	2258.0	2259.0	2260.0	29292.0
35742	2157.0	28890.0	183963.0	2235.0	1963268.0	2237.0	35742.0
35745	2157.0	28890.0	183963.0	1644055.0	1644056.0	2251.0	35745.0
35746	2157.0	28890.0	183963.0	1644055.0	1644056.0	2251.0	35746.0
36738	2157.0	28890.0	183963.0	2235.0	1963270.0	2249.0	36738.0
38027	2157.0	28890.0	224756.0	94695.0	2206.0	2207.0	38027.0
39152	2157.0	28890.0	183939.0	2182.0	2183.0	2184.0	39152.0
39441	2157.0	28890.0	183925.0	2158.0	2159.0	2172.0	39441.0
39664	2157.0	28890.0	224756.0	94695.0	2206.0	2175.0	39664.0
39669	2157.0	28890.0	224756.0	94695.0	2206.0	196136.0	39669.0
42879	2157.0	28890.0	183939.0	2182.0	2183.0	2184.0	42879.0
43080	2157.0	28889.0	183924.0	2281.0	118883.0	2284.0	43080.0
43687	2157.0	28889.0	183924.0	2281.0	118883.0	41980.0	43687.0
43776	2157.0	28890.0	183963.0	2235.0	1963268.0	2237.0	43776.0
43928	2157.0	28890.0	183963.0	1644055.0	1963271.0	43927.0	43928.0
44470	2157.0	28890.0	183963.0	1644060.0	1644061.0	29287.0	44470.0
44930	2157.0	28890.0	183963.0	1644060.0	1644061.0	2256.0	44930.0
47303	2157.0	28889.0	183924.0	2281.0	118883.0	2284.0	47303.0
