	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
7	2.0	1224.0		28211.0		356.0		335928.0			6.0			7.0	
9	2.0	1224.0		1236.0		91347.0		1903409.0			32199.0			9.0	
11	2.0	201174.0		1760.0		85006.0		85016.0			1707.0			11.0	
14	2.0	68297.0		203486.0		203487.0		203488.0			13.0			14.0	
17	2.0	1224.0		28216.0		32003.0		32011.0			16.0			17.0	
19	2.0	1224.0	68525.0	28221.0		69541.0		213421.0			18.0			19.0	
23	2.0	1224.0		1236.0		135622.0		267890.0			22.0			23.0	
24	2.0	1224.0		1236.0		135622.0		267890.0			22.0			24.0	
33	2.0	1224.0	68525.0	28221.0		29.0	80811.0	31.0			32.0			33.0	
34	2.0	1224.0	68525.0	28221.0		29.0	80811.0	31.0			32.0			34.0	
41	2.0	1224.0	68525.0	28221.0		29.0	80811.0	39.0			40.0			41.0	
43	2.0	1224.0	68525.0	28221.0		29.0	80811.0	39.0			42.0			43.0	
48	2.0	1224.0	68525.0	28221.0		29.0	80811.0	39.0			47.0			48.0	
51	2.0	1224.0	68525.0	28221.0		29.0	80812.0	49.0			50.0			51.0	
52	2.0	1224.0	68525.0	28221.0		29.0	80812.0	49.0			50.0			52.0	
56	2.0	1224.0	68525.0	28221.0		29.0	80812.0	49.0			39643.0			56.0	
61	2.0	1224.0		28216.0		206351.0		481.0			59.0			61.0	
69	2.0	1224.0		1236.0		135614.0		32033.0			68.0			69.0	
72	2.0	1224.0		28216.0		206351.0		481.0			71.0			72.0	
86	2.0	1224.0		28211.0		204455.0		69657.0			85.0			86.0	
103	2.0	976.0		768503.0		768507.0		89373.0			101.0			103.0	
104	2.0	976.0		768503.0		768507.0		563798.0			68288.0			104.0	
106	2.0	976.0		768503.0		768507.0		89373.0			105.0			106.0	
114	2.0	203682.0		203683.0		112.0		1914233.0			113.0			114.0	
119	2.0	203682.0		203683.0		112.0		126.0			1649490.0			119.0	
120	2.0	203682.0		203683.0		112.0		126.0			1649480.0			120.0	
122	2.0	203682.0		203683.0		112.0		126.0			1649453.0			122.0	
124	2.0	203682.0		203683.0		112.0		126.0			265487.0			124.0	
125	2.0	203682.0		203683.0		112.0		126.0			123.0			125.0	
128	2.0	203682.0		203683.0		112.0		1763524.0			127.0			128.0	
134	2.0	1224.0		28211.0		356.0		31993.0			133.0			134.0	
139	2.0	203691.0		203692.0		136.0		1643685.0			64895.0			139.0	
140	2.0	203691.0		203692.0		136.0		1643685.0			138.0			140.0	
141	2.0	203691.0		203692.0		136.0		1643685.0			138.0			141.0	
142	2.0	203691.0		203692.0		136.0		1643685.0			138.0			142.0	
144	2.0	203691.0		203692.0		136.0		1643685.0			138.0			144.0	
148	2.0	203691.0		203692.0		136.0		137.0			1911556.0			148.0	
154	2.0	203691.0		203692.0		136.0		137.0			146.0			154.0	
158	2.0	203691.0		203692.0		136.0		137.0			157.0			158.0	
159	2.0	203691.0		203692.0		1643686.0		143786.0			29521.0			159.0	
160	2.0	203691.0		203692.0		136.0		137.0			157.0			160.0	
162	2.0	203691.0		203692.0		136.0		137.0			157.0			162.0	
163	2.0	203691.0		203692.0		136.0		137.0			157.0			163.0	
165	2.0	203691.0		203692.0		136.0		137.0			157.0			165.0	
167	2.0	203691.0		203692.0		136.0		137.0			157.0			167.0	
172	2.0	203691.0		203692.0		1643688.0		170.0			171.0			172.0	
173	2.0	203691.0		203692.0		1643688.0		170.0			171.0			173.0	
174	2.0	203691.0		203692.0		1643688.0		170.0			171.0			174.0	
180	2.0	40117.0		203693.0		189778.0		189779.0			179.0		655606.0	180.0	
183	2.0	203691.0		203692.0		1643688.0		170.0			32205.0			183.0	
188	2.0	1224.0		28211.0		204441.0		41295.0			13134.0			188.0	
189	2.0	1224.0		28211.0		204441.0		41295.0			660514.0			189.0	
190	2.0	1224.0		28216.0		206351.0		1499392.0			187.0			190.0	
192	2.0	1224.0		28211.0		204441.0		41295.0			191.0			192.0	
193	2.0	1224.0		28211.0		204441.0		41295.0			191.0			193.0	
195	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			195.0	
196	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			196.0	
197	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			197.0	
198	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			198.0	
199	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			199.0	
200	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			200.0	
201	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			201.0	
202	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			202.0	
203	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			203.0	
204	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			204.0	
206	2.0	1224.0	68525.0	29547.0		213849.0		72294.0			194.0			206.0	
210	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			210.0	
211	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			211.0	
212	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			212.0	
213	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			213.0	
214	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			214.0	
215	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			215.0	
216	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			216.0	
217	2.0	1224.0	68525.0	29547.0		213849.0		72293.0			209.0			217.0	
228	2.0	1224.0		1236.0		135622.0		267888.0			53246.0			228.0	
235	2.0	1224.0		28211.0		356.0		118882.0			234.0			235.0	
236	2.0	1224.0		28211.0		356.0		118882.0			234.0			236.0	
238	2.0	976.0		117743.0		200644.0		49546.0			308865.0			238.0	
245	2.0	976.0		117743.0		200644.0		49546.0			237.0			245.0	
247	2.0	976.0		117743.0		200644.0		49546.0			59734.0			247.0	
