	superkingdom	phylum	subphylum	class	subclass	order	suborder	family	subfamily	tribe	genus	subgenus	species group	species	subspecies
7	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Xanthobacteraceae			Azorhizobium			Azorhizobium caulinodans	
9	Bacteria	Proteobacteria		Gammaproteobacteria		Enterobacterales		Erwiniaceae			Buchnera			Buchnera aphidicola	
11	Bacteria	Actinobacteria		Actinobacteria		Micrococcales		Cellulomonadaceae			Cellulomonas			Cellulomonas gilvus	
14	Bacteria	Dictyoglomi		Dictyoglomia		Dictyoglomales		Dictyoglomaceae			Dictyoglomus			Dictyoglomus thermophilum	
17	Bacteria	Proteobacteria		Betaproteobacteria		Nitrosomonadales		Methylophilaceae			Methylophilus			Methylophilus methylotrophus	
19	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Desulfuromonadales		Desulfuromonadaceae			Pelobacter			Pelobacter carbinolicus	
23	Bacteria	Proteobacteria		Gammaproteobacteria		Alteromonadales		Shewanellaceae			Shewanella			Shewanella colwelliana	
24	Bacteria	Proteobacteria		Gammaproteobacteria		Alteromonadales		Shewanellaceae			Shewanella			Shewanella putrefaciens	
33	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Myxococcaceae			Myxococcus			Myxococcus fulvus	
34	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Myxococcaceae			Myxococcus			Myxococcus xanthus	
41	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Archangiaceae			Stigmatella			Stigmatella aurantiaca	
43	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Archangiaceae			Cystobacter			Cystobacter fuscus	
48	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Cystobacterineae	Archangiaceae			Archangium			Archangium gephyra	
51	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Sorangiineae	Polyangiaceae			Chondromyces			Chondromyces apiculatus	
52	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Sorangiineae	Polyangiaceae			Chondromyces			Chondromyces crocatus	
56	Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria		Myxococcales	Sorangiineae	Polyangiaceae			Sorangium			Sorangium cellulosum	
61	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Vitreoscilla			Vitreoscilla stercoraria	
69	Bacteria	Proteobacteria		Gammaproteobacteria		Xanthomonadales		Xanthomonadaceae			Lysobacter			Lysobacter enzymogenes	
72	Bacteria	Proteobacteria		Betaproteobacteria		Neisseriales		Neisseriaceae			Simonsiella			Simonsiella muelleri	
86	Bacteria	Proteobacteria		Alphaproteobacteria		Rhodobacterales		Hyphomonadaceae			Hyphomonas			Hyphomonas jannaschiana	
103	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Cytophagaceae			Flectobacillus			Flectobacillus major	
104	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Cyclobacteriaceae			Cyclobacterium			Cyclobacterium marinum	
106	Bacteria	Bacteroidetes		Cytophagia		Cytophagales		Cytophagaceae			Runella			Runella slithyformis	
114	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Gemmataceae			Gemmata			Gemmata obscuriglobus	
119	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Planctomycetaceae			Rubinisphaera			Rubinisphaera brasiliensis	
120	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Planctomycetaceae			Planctopirus			Planctopirus limnophila	
122	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Planctomycetaceae			Gimesia			Gimesia maris	
124	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Planctomycetaceae			Blastopirellula			Blastopirellula marina	
125	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Planctomycetaceae			Pirellula			Pirellula staleyi	
128	Bacteria	Planctomycetes		Planctomycetia		Planctomycetales		Isosphaeraceae			Isosphaera			Isosphaera pallida	
134	Bacteria	Proteobacteria		Alphaproteobacteria		Rhizobiales		Methylocystaceae			Methylocystis			Methylocystis parvus	
139	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Borreliaceae			Borreliella			Borreliella burgdorferi	
140	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Borreliaceae			Borrelia			Borrelia hermsii	
141	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Borreliaceae			Borrelia			Borrelia parkeri	
142	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Borreliaceae			Borrelia			Borrelia turicatae	
144	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Borreliaceae			Borrelia			Borrelia coriaceae	
148	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Spirochaetaceae			Sediminispirochaeta			Sediminispirochaeta bajacaliforniensis	
154	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Spirochaetaceae			Spirochaeta			Spirochaeta thermophila	
158	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Spirochaetaceae			Treponema			Treponema denticola	
159	Bacteria	Spirochaetes		Spirochaetia		Brachyspirales		Brachyspiraceae			Brachyspira			Brachyspira hyodysenteriae	
160	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Spirochaetaceae			Treponema			Treponema pallidum	
162	Bacteria	Spirochaetes		Spirochaetia		Spirochaetales		Spirochaetaceae			Treponema			Treponema phagedenis	
