	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	genus	species group	species
4754	2759.0	4751.0	451864.0	4890.0	451866.0	147553.0		37987.0		44281.0	4753.0		4754.0
4808	2759.0	4751.0		451459.0		451460.0		4805.0		4806.0	4807.0		4808.0
4837	2759.0	4751.0		1913637.0	451507.0	2212703.0		4827.0		1344966.0	4836.0		4837.0
4872	2759.0	4751.0		1913637.0	451507.0	2212702.0		4869.0		4870.0	4871.0		4872.0
4876	2759.0	4751.0		1913637.0	214504.0	214506.0		36750.0		36751.0	1129544.0		4876.0
4896	2759.0	4751.0	451864.0	4890.0	451866.0	147554.0		34346.0		4894.0	4895.0		4896.0
4897	2759.0	4751.0	451864.0	4890.0	451866.0	147554.0		34346.0		4894.0	4895.0		4897.0
4899	2759.0	4751.0	451864.0	4890.0	451866.0	147554.0		34346.0		4894.0	4895.0		4899.0
4903	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		115784.0	604195.0		4903.0
4911	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4910.0		4911.0
4920	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766502.0		4920.0
4924	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766733.0		4924.0
4926	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		1156497.0	4919.0		4926.0
4927	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		115784.0	599737.0		4927.0
4929	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	766728.0		4929.0
4931	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4930.0		4931.0
4932	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4930.0		4932.0
4934	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	300275.0		4934.0
4950	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4948.0		4950.0
4952	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		34353.0	4951.0		4952.0
4956	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		4893.0	4953.0		4956.0
4959	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		766764.0	4958.0		4959.0
5007	2759.0	4751.0	451864.0	4890.0	147537.0	4891.0		4892.0		1156497.0	13366.0		5007.0
5016	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	33194.0		5016.0
5017	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	28556.0	33194.0		5017.0
5022	2759.0	4751.0	451864.0	4890.0	147538.0	147541.0	451868.0	92860.0	715340.0	34374.0	5021.0		5022.0
5037	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	33183.0		299071.0	5036.0		5037.0
5044	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0			159075.0		5044.0
5053	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5053.0
5057	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5057.0
5059	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5059.0
5061	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5061.0
5062	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5062.0
5068	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5052.0		5068.0
5082	2759.0	4751.0	451864.0	4890.0	147538.0	147545.0	451871.0	5042.0		1131492.0	5073.0		5082.0
5113	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222543.0	5125.0		34397.0	5112.0		5113.0
5141	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		5148.0	5140.0		5141.0
5145	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		42302.0	5144.0		5145.0
5147	2759.0	4751.0	451864.0	4890.0	147538.0	147550.0	222544.0	5139.0		5148.0	5146.0		5147.0
5180	2759.0	4751.0	451864.0	4890.0	147538.0	147548.0		5178.0		28983.0	5179.0		5180.0
