	superkingdom	kingdom	subkingdom	phylum	subphylum	class	subclass	order	suborder	family	genus	species group	species
4754	Eukaryota	Fungi	Dikarya	Ascomycota	Taphrinomycotina	Pneumocystidomycetes		Pneumocystidales		Pneumocystidaceae	Pneumocystis		Pneumocystis carinii
4808	Eukaryota	Fungi		Blastocladiomycota		Blastocladiomycetes		Blastocladiales		Blastocladiaceae	Blastocladiella		Blastocladiella emersonii
4837	Eukaryota	Fungi		Mucoromycota	Mucoromycotina	Mucoromycetes		Mucorales		Phycomycetaceae	Phycomyces		Phycomyces blakesleeanus
4872	Eukaryota	Fungi		Mucoromycota	Mucoromycotina	Endogonomycetes		Endogonales		Endogonaceae	Endogone		Endogone pisiformis
4876	Eukaryota	Fungi		Mucoromycota	Glomeromycotina	Glomeromycetes		Glomerales		Glomeraceae	Rhizophagus		Rhizophagus intraradices
4896	Eukaryota	Fungi	Dikarya	Ascomycota	Taphrinomycotina	Schizosaccharomycetes		Schizosaccharomycetales		Schizosaccharomycetaceae	Schizosaccharomyces		Schizosaccharomyces pombe
4897	Eukaryota	Fungi	Dikarya	Ascomycota	Taphrinomycotina	Schizosaccharomycetes		Schizosaccharomycetales		Schizosaccharomycetaceae	Schizosaccharomyces		Schizosaccharomyces japonicus
4899	Eukaryota	Fungi	Dikarya	Ascomycota	Taphrinomycotina	Schizosaccharomycetes		Schizosaccharomycetales		Schizosaccharomycetaceae	Schizosaccharomyces		Schizosaccharomyces octosporus
4903	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Cyberlindnera		Cyberlindnera jadinii
4911	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Kluyveromyces		Kluyveromyces marxianus
4920	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Millerozyma		Millerozyma farinosa
4924	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Scheffersomyces		Scheffersomyces stipitis
4926	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Pichia		Pichia membranifaciens
4927	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Phaffomycetaceae	Wickerhamomyces		Wickerhamomyces anomalus
4929	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Meyerozyma		Meyerozyma guilliermondii
4931	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Saccharomyces		Saccharomyces bayanus
4932	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Saccharomyces		Saccharomyces cerevisiae
4934	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Lachancea		Lachancea kluyveri
4950	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Torulaspora		Torulaspora delbrueckii
4952	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Dipodascaceae	Yarrowia		Yarrowia lipolytica
4956	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Saccharomycetaceae	Zygosaccharomyces		Zygosaccharomyces rouxii
4959	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Debaryomycetaceae	Debaryomyces		Debaryomyces hansenii
5007	Eukaryota	Fungi	Dikarya	Ascomycota	Saccharomycotina	Saccharomycetes		Saccharomycetales		Pichiaceae	Brettanomyces		Brettanomyces bruxellensis
5016	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporineae	Pleosporaceae	Bipolaris		Bipolaris maydis
5017	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporineae	Pleosporaceae	Bipolaris		Bipolaris zeicola
5022	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Dothideomycetes	Pleosporomycetidae	Pleosporales	Pleosporineae	Leptosphaeriaceae	Leptosphaeria		Leptosphaeria maculans
5037	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Onygenales		Ajellomycetaceae	Histoplasma		Histoplasma capsulatum
5044	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Sordariomycetes	Hypocreomycetidae	Hypocreales			Acremonium		Acremonium chrysogenum
5053	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus aculeatus
5057	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus clavatus
5059	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus flavus
5061	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus niger
5062	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus oryzae
5068	Eukaryota	Fungi	Dikarya	Ascomycota	Pezizomycotina	Eurotiomycetes	Eurotiomycetidae	Eurotiales		Aspergillaceae	Aspergillus		Aspergillus tubingensis
