	superkingdom	phylum	subphylum	class	order	suborder	family	subfamily	genus	subgenus	species
10298	10239.0				548681.0		10292.0	10293.0	10294.0		10298.0
10326	10239.0				548681.0		10292.0	10293.0	10319.0		10326.0
10335	10239.0				548681.0		10292.0	10293.0	10319.0		10335.0
10353	10239.0				548681.0		10292.0	10293.0	10294.0		10353.0
10359	10239.0				548681.0		10292.0	10357.0	10358.0		10359.0
10366	10239.0				548681.0		10292.0	10357.0	10365.0		10366.0
10372	10239.0				548681.0		10292.0	10357.0	40272.0		10372.0
10376	10239.0				548681.0		10292.0	10374.0	10375.0		10376.0
10390	10239.0				548681.0		10292.0	10293.0	180252.0		10390.0
10398	10239.0				548681.0		10292.0	10374.0	548687.0		10398.0
10455	10239.0						10442.0		558016.0		10455.0
10677	10239.0				28883.0		10662.0		186777.0		10677.0
10678	10239.0				28883.0		10662.0		186789.0		10678.0
10679	10239.0				28883.0		10662.0	857479.0	140410.0		10679.0
10680	10239.0				28883.0						10680.0
10690	10239.0				28883.0		10662.0	857479.0	1196844.0		10690.0
10693	10239.0				28883.0		10662.0	1198136.0	10663.0		10693.0
10708	10239.0				28883.0		10699.0		1623286.0		10708.0
10713	10239.0				28883.0		10699.0				10713.0
10726	10239.0				28883.0		10699.0		187218.0		10726.0
10742	10239.0				28883.0		10699.0		2169654.0		10742.0
10754	10239.0				28883.0		10744.0		186794.0		10754.0
10756	10239.0				28883.0		10744.0	542836.0	186846.0		10756.0
10759	10239.0				28883.0		10744.0	542835.0	110456.0		10759.0
10760	10239.0				28883.0		10744.0	542835.0	110456.0		1985738.0
10761	10239.0				28883.0		10744.0		186794.0		10761.0
10845	10239.0						10841.0	1910950.0	1910951.0		1985284.0
10848	10239.0						10841.0	1910950.0	1910951.0		10848.0
10871	10239.0						10860.0				2011081.0
11008	10239.0						11006.0		11007.0		11008.0
11137	10239.0				76804.0	2499399.0	11118.0	2501931.0	693996.0	2509480.0	11137.0
11292	10239.0	2497569.0	2497570.0	2497574.0	11157.0		11270.0		11286.0		11292.0
11552	10239.0	2497569.0	2497571.0	2497577.0	2499411.0		11308.0		197913.0		11552.0
11676	10239.0				2169561.0		11632.0	327045.0	11646.0		11676.0
11757	10239.0				2169561.0		11632.0	327045.0	140052.0		11757.0
11786	10239.0				2169561.0		11632.0	327045.0	153135.0		11786.0
11788	10239.0				2169561.0		11632.0	327045.0	153135.0		11788.0
11809	10239.0				2169561.0		11632.0	327045.0	153135.0		11809.0
11819	10239.0				2169561.0		11632.0	327045.0	153135.0		11819.0
11830	10239.0				2169561.0		11632.0	327045.0	153135.0		11830.0
11834	10239.0				2169561.0		11632.0	327045.0	153135.0		11834.0
11855	10239.0				2169561.0		11632.0	327045.0	140052.0		11855.0
11986	10239.0						39738.0		1911599.0		11986.0
12167	10239.0				675063.0		675068.0	1914297.0	12163.0		12167.0
12169	10239.0				675063.0		675068.0	1914297.0	12163.0		12169.0
12172	10239.0				675063.0		675068.0	1914297.0	12163.0		12172.0
12177	10239.0				675063.0		675064.0		12176.0		12177.0
12188	10239.0				675063.0		675064.0		12176.0		12188.0
12205	10239.0						39729.0		12195.0		12205.0
12209	10239.0						39729.0		12195.0		12209.0
12216	10239.0						39729.0		12195.0		12216.0
12222	10239.0						39729.0		12195.0		12222.0
12227	10239.0						39729.0		12195.0		12227.0
12232	10239.0						39729.0		12195.0		12232.0
12239	10239.0						675071.0		12234.0		12239.0
12241	10239.0						675071.0		12234.0		12241.0
12242	10239.0						675071.0		12234.0		12242.0
12253	10239.0						675071.0		12234.0		12253.0
12263	10239.0				464095.0		675072.0	675075.0	12258.0		12263.0
12282	10239.0				464095.0		675072.0	675075.0	12270.0		12282.0
12302	10239.0						39740.0		12300.0		12302.0
12303	10239.0						39740.0		12300.0		12303.0
12305	10239.0						39740.0		12304.0		12305.0
12313	10239.0						39740.0		12304.0		12313.0
12321	10239.0						39740.0		12320.0		12321.0
12360	10239.0				28883.0		10699.0		1623298.0		12360.0
12390	10239.0				28883.0		10699.0				12390.0
12402	10239.0				28883.0		10662.0				12402.0
12407	10239.0				28883.0		10662.0	857479.0	140410.0		12407.0
12417	10239.0				28883.0		10699.0				12417.0
12433	10239.0				675063.0		675064.0		140568.0		12433.0
12451	10239.0								39760.0		12451.0
12657	10239.0				548681.0		10292.0	10374.0	548688.0		12657.0
29252	10239.0				28883.0		10662.0	857479.0	140410.0		29252.0
31532	10239.0				28883.0		10699.0		1623305.0		31532.0
31533	10239.0				28883.0		10662.0	1198136.0	10663.0		1914203.0
31535	10239.0				28883.0		10699.0		1623287.0		31535.0
31537	10239.0				28883.0		10699.0		186532.0		31537.0
31713	10239.0						69973.0		67753.0		31713.0
31754	10239.0				28883.0		10699.0				31754.0
32603	10239.0				548681.0		10292.0	10357.0	40272.0		32603.0
32604	10239.0				548681.0		10292.0	10357.0	40272.0		32604.0
35241	10239.0				28883.0		10699.0				35241.0
35250	10239.0				548681.0		10292.0	10293.0	180252.0		35250.0
35269	10239.0						10404.0		10405.0		35269.0
35281	10239.0						675071.0		12234.0		35281.0
35343	10239.0				28883.0		10662.0	857479.0	140410.0		35343.0
35344	10239.0				28883.0		10699.0				35344.0
35345	10239.0				28883.0		10699.0				35345.0
36343	10239.0				28883.0		10699.0		186532.0		36343.0
37105	10239.0				28883.0		10699.0				37105.0
37296	10239.0				548681.0		10292.0	10374.0	10379.0		37296.0
37554	10239.0				28883.0		10699.0		2169654.0		37554.0
39103	10239.0				28883.0		10699.0				39103.0
40631	10239.0				28883.0		10699.0		308911.0		40631.0
43685	10239.0				28883.0		10699.0				43685.0
45406	10239.0				28883.0		10662.0	1198136.0	10663.0		45406.0
45455	10239.0				548681.0		10292.0	10374.0	10375.0		45455.0
45617	10239.0				2169561.0		11632.0				45617.0
47049	10239.0				28883.0		10744.0	542835.0	110456.0		1985739.0
50948	10239.0				28883.0		10662.0	1198136.0	1913651.0		1985354.0
51330	10239.0						69973.0		67753.0		51330.0
51677	10239.0						10442.0		558017.0		51677.0
52979	10239.0				28883.0		10699.0				52979.0
53369	10239.0				28883.0		10699.0		1623298.0		53369.0
55884	10239.0				28883.0		10662.0				55884.0
59241	10239.0				28883.0		10699.0				59241.0
59506	10239.0				28883.0		10699.0		1623298.0		59506.0
63118	10239.0				28883.0		10699.0		1623305.0		63118.0
64186	10239.0				28883.0		10699.0		1623304.0		64186.0
66284	10239.0				28883.0		10662.0				66284.0
67082	10239.0						10240.0	10241.0			67082.0
67571	10239.0				28883.0		10744.0				67571.0
68887	10239.0						687329.0				68887.0
69609	10239.0				28883.0		10662.0	1198136.0	10663.0		69609.0
71366	10239.0				28883.0		10699.0		1623274.0		71366.0
72197	10239.0						10780.0	40119.0	40121.0		72197.0
72638	10239.0				28883.0		10699.0		1623304.0		72638.0
73422	10239.0				28883.0		10699.0		1623303.0		73422.0
77775	10239.0				28883.0		10662.0	1985285.0	1198140.0		1985310.0
78541	10239.0				28883.0		10699.0		1623303.0		78541.0
83129	10239.0				28883.0		10699.0		1623305.0		83129.0
85154	10239.0				28883.0		10699.0		1623303.0		85154.0
85454	10239.0				675063.0		675064.0		12176.0		85454.0
90410	10239.0				28883.0		10699.0		1623304.0		90410.0
93465	10239.0				2169561.0		11632.0				93465.0
93678	10239.0						687329.0		687332.0		93678.0
99179	10239.0				28883.0		10699.0				99179.0
99182	10239.0				2169561.0		11632.0	327045.0	153135.0		99182.0
101570	10239.0				28883.0		10699.0				101570.0
103216	10239.0				28883.0		10662.0	857479.0	140410.0		103216.0
103807	10239.0				28883.0		10662.0				103807.0
106284	10239.0				28883.0		10699.0		1623298.0		106284.0
107324	10239.0				2169561.0		186534.0		1232640.0		107324.0
112023	10239.0				28883.0		10699.0		1623304.0		112023.0
112227	10239.0				675063.0		675064.0		12176.0		112227.0
112229	10239.0				675063.0		675064.0		12176.0		112229.0
113370	10239.0						43682.0		43680.0		113370.0
114416	10239.0				28883.0		10699.0				114416.0
115987	10239.0				28883.0		10662.0		1921527.0		115987.0
115991	10239.0				28883.0		10662.0	1198136.0	1985328.0		115991.0
119910	10239.0						2169577.0		12137.0		119910.0
120574	10239.0				28883.0		10699.0				120574.0
129009	10239.0				28883.0		10699.0		1623274.0		129009.0
129862	10239.0										129862.0
129951	10239.0						10508.0		10509.0		129951.0
130308	10239.0						10508.0		10509.0		130308.0
130309	10239.0						10508.0		10509.0		130309.0
130310	10239.0						10508.0		10509.0		130310.0
130478	10239.0				28883.0		10699.0		1623273.0		130478.0
139871	10239.0				28883.0		10662.0				139871.0
139872	10239.0				28883.0		10699.0				139872.0
146269	10239.0				28883.0		10699.0				146269.0
146500	10239.0						39729.0		12195.0		146500.0
151534	10239.0				28883.0		10699.0				151534.0
151535	10239.0				28883.0		10699.0				151535.0
151536	10239.0				28883.0		10699.0				151536.0
151537	10239.0				28883.0		10699.0				151537.0
151538	10239.0				28883.0		10699.0				151538.0
151539	10239.0				28883.0		10699.0				151539.0
151599	10239.0				28883.0		10699.0				151599.0
155148	10239.0				28883.0		10744.0		186794.0		155148.0
157239	10239.0				28883.0		10662.0	857479.0	1196844.0		157239.0
157924	10239.0				28883.0		10699.0				157924.0
159150	10239.0	2497569.0	2497571.0	2497576.0	1980410.0		1980416.0		11572.0		159150.0
169683	10239.0				28883.0		10662.0		680115.0		169683.0
173443	10239.0				28883.0		10744.0		186794.0		173443.0
175950	10239.0				28883.0		10662.0				175950.0
176652	10239.0						10486.0	2017757.0	10487.0		176652.0
180230	10239.0				548681.0		548682.0		692606.0		180230.0
180504	10239.0				28883.0		10699.0		1623297.0		180504.0
186152	10239.0				28883.0		10699.0		1623273.0		186152.0
186153	10239.0				28883.0		10699.0		1623274.0		186153.0
186772	10239.0						186766.0		186767.0		186772.0
187764	10239.0				28883.0		10744.0	542835.0	542837.0		187764.0
188763	10239.0				548681.0		10292.0	10357.0	10358.0		188763.0
194699	10239.0				28883.0		10744.0		542959.0		194699.0
194701	10239.0				28883.0		10662.0	857479.0	140410.0		194701.0
196242	10239.0				28883.0		10699.0				196242.0
196403	10239.0				2169561.0		11632.0	327045.0	153135.0		196403.0
197310	10239.0				28883.0		10662.0	1198136.0	10663.0		1914209.0
198110	10239.0				28883.0		10662.0		680115.0		198110.0
198112	10239.0				464095.0		699189.0		232799.0		198112.0
198539	10239.0				28883.0		10699.0				198539.0
198540	10239.0				28883.0		10699.0				198540.0
198542	10239.0				28883.0						198542.0
198543	10239.0				28883.0		10699.0				198543.0
205870	10239.0				28883.0		10699.0		186764.0		205870.0
205872	10239.0				28883.0		10699.0	2169597.0	1623282.0		205872.0
205879	10239.0				28883.0		10699.0		1623292.0		205879.0
209529	10239.0				464095.0		232795.0		144051.0		209529.0
213769	10239.0				28883.0		10699.0		1623305.0		213769.0
213775	10239.0				28883.0		10699.0		1623305.0		213775.0
215167	10239.0				28883.0		10699.0		1623273.0		215167.0
221029	10239.0				28883.0		10744.0		186794.0		221029.0
221915	10239.0				28883.0		10662.0	857473.0	1857843.0		221915.0
225979	10239.0				28883.0		10699.0				225979.0
227720	10239.0				28883.0		10744.0	542835.0	110456.0		227720.0
227940	10239.0				28883.0		10662.0	857479.0	140410.0		227940.0
233894	10239.0				28883.0		10662.0		1921527.0		233894.0
238854	10239.0				28883.0		10662.0	1198136.0			238854.0
242527	10239.0				28883.0		10744.0		1720323.0		242527.0
243560	10239.0						39729.0		12195.0		243560.0
244310	10239.0				28883.0		10662.0		1198138.0		244310.0
247080	10239.0						10860.0				247080.0
255431	10239.0				28883.0		10699.0				255431.0
259901	10239.0				28883.0		10699.0		1623274.0		259901.0
