	superkingdom	phylum	subphylum	class	order	suborder	family	subfamily	genus	subgenus	species
10298	Viruses				Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Human alphaherpesvirus 1
10326	Viruses				Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Equid alphaherpesvirus 1
10335	Viruses				Herpesvirales		Herpesviridae	Alphaherpesvirinae	Varicellovirus		Human alphaherpesvirus 3
10353	Viruses				Herpesvirales		Herpesviridae	Alphaherpesvirinae	Simplexvirus		Saimiriine alphaherpesvirus 1
10359	Viruses				Herpesvirales		Herpesviridae	Betaherpesvirinae	Cytomegalovirus		Human betaherpesvirus 5
10366	Viruses				Herpesvirales		Herpesviridae	Betaherpesvirinae	Muromegalovirus		Murid betaherpesvirus 1
10372	Viruses				Herpesvirales		Herpesviridae	Betaherpesvirinae	Roseolovirus		Human betaherpesvirus 7
10376	Viruses				Herpesvirales		Herpesviridae	Gammaherpesvirinae	Lymphocryptovirus		Human gammaherpesvirus 4
10390	Viruses				Herpesvirales		Herpesviridae	Alphaherpesvirinae	Mardivirus		Gallid alphaherpesvirus 2
10398	Viruses				Herpesvirales		Herpesviridae	Gammaherpesvirinae	Macavirus		Ovine gammaherpesvirus 2
10455	Viruses						Baculoviridae		Alphabaculovirus		Spodoptera frugiperda multiple nucleopolyhedrovirus
10677	Viruses				Caudovirales		Myoviridae		Muvirus		Escherichia virus Mu
10678	Viruses				Caudovirales		Myoviridae		P1virus		Escherichia virus P1
10679	Viruses				Caudovirales		Myoviridae	Peduovirinae	P2virus		Escherichia virus P2
10680	Viruses				Caudovirales						Enterobacteria phage P4
10690	Viruses				Caudovirales		Myoviridae	Peduovirinae	Hp1virus		Haemophilus virus HP1
10693	Viruses				Caudovirales		Myoviridae	Tevenvirinae	T4virus		Enterobacteria phage RB51
10708	Viruses				Caudovirales		Siphoviridae		D3112virus		Pseudomonas virus D3112
10713	Viruses				Caudovirales		Siphoviridae				Enterobacteria phage phi80
10726	Viruses				Caudovirales		Siphoviridae		T5virus		Escherichia virus T5
10742	Viruses				Caudovirales		Siphoviridae		Hk97virus		Escherichia virus HK022
10754	Viruses				Caudovirales		Podoviridae		P22virus		Salmonella virus P22
10756	Viruses				Caudovirales		Podoviridae	Picovirinae	Phi29virus		Bacillus virus phi29
10759	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Enterobacteria phage T3
10760	Viruses				Caudovirales		Podoviridae	Autographivirinae	T7virus		Escherichia virus T7
10761	Viruses				Caudovirales		Podoviridae		P22virus		Shigella virus Sf6
10845	Viruses						Microviridae	Bullavirinae	Alpha3microvirus		Escherichia virus St1
10848	Viruses						Microviridae	Bullavirinae	Alpha3microvirus		Escherichia virus phiK
10871	Viruses						Inoviridae				Pseudomonas virus Pf1
